,JNJ,PFE,LLY,PRGO,CTLT,VTRS,ALXN,ZTS,ABBV,MRK
2016-05-12,114.2300033569336,31.489564895629883,75.95999908447266,89.04000091552734,23.799999237060547,38.619998931884766,139.11000061035156,46.25,62.4900016784668,54.119998931884766
2016-05-13,113.55999755859375,31.489564895629883,76.33000183105469,88.36000061035156,23.850000381469727,39.15999984741211,139.74000549316406,46.38999938964844,62.0,53.880001068115234
2016-05-16,114.44000244140625,31.669828414916992,78.29000091552734,88.7300033569336,25.110000610351562,40.45000076293945,144.57000732421875,46.77000045776367,62.45000076293945,54.650001525878906
2016-05-17,113.83000183105469,31.33776092529297,76.38999938964844,90.29000091552734,25.520000457763672,41.02000045776367,139.9600067138672,46.5,60.25,54.31999969482422
2016-05-18,113.58999633789062,31.47058868408203,76.33000183105469,93.55000305175781,26.110000610351562,42.040000915527344,142.3300018310547,46.959999084472656,60.459999084472656,54.66999816894531
2016-05-19,112.8499984741211,31.669828414916992,74.30999755859375,91.94000244140625,26.59000015258789,41.119998931884766,139.02999877929688,46.43000030517578,59.279998779296875,54.58000183105469
2016-05-20,112.63999938964844,32.01138687133789,74.80999755859375,93.77999877929688,28.649999618530273,41.5099983215332,142.52000427246094,47.060001373291016,59.689998626708984,55.11000061035156
2016-05-23,112.16000366210938,31.944971084594727,74.08000183105469,93.5,28.270000457763672,41.209999084472656,142.50999450683594,46.400001525878906,59.29999923706055,54.91999816894531
2016-05-24,112.69000244140625,32.35293960571289,74.98999786376953,96.26000213623047,28.75,42.439998626708984,146.6699981689453,47.290000915527344,60.70000076293945,55.599998474121094
2016-05-25,113.3499984741211,32.59013366699219,74.54000091552734,96.41999816894531,29.059999465942383,42.68000030517578,149.61000061035156,47.0,61.220001220703125,56.56999969482422
2016-05-26,112.9000015258789,32.66603469848633,75.5199966430664,96.19999694824219,29.139999389648438,42.86000061035156,148.1699981689453,47.33000183105469,61.900001525878906,56.38999938964844
2016-05-27,113.05999755859375,32.83681106567383,74.98999786376953,96.61000061035156,28.989999771118164,43.060001373291016,150.4199981689453,47.18000030517578,62.709999084472656,56.47999954223633
2016-05-31,112.69000244140625,32.92219924926758,75.02999877929688,95.83999633789062,28.1200008392334,43.34000015258789,150.89999389648438,47.41999816894531,62.93000030517578,56.2599983215332
2016-06-01,112.77999877929688,32.96963882446289,74.94000244140625,96.94999694824219,27.809999465942383,44.459999084472656,152.6999969482422,47.849998474121094,62.83000183105469,56.33000183105469
2016-06-02,114.48999786376953,33.083492279052734,75.45999908447266,98.1500015258789,26.299999237060547,44.959999084472656,156.77000427246094,48.130001068115234,65.08999633789062,56.81999969482422
2016-06-03,114.76000213623047,32.91271209716797,75.12000274658203,97.2300033569336,26.350000381469727,44.52000045776367,153.88999938964844,47.93000030517578,65.0,56.63999938964844
2016-06-06,115.7699966430664,33.14041519165039,74.83999633789062,99.26000213623047,26.219999313354492,46.52000045776367,154.99000549316406,48.40999984741211,62.81999969482422,57.16999816894531
2016-06-07,115.7300033569336,33.05502700805664,74.69999694824219,99.11000061035156,23.829999923706055,46.61000061035156,138.1300048828125,48.349998474121094,63.099998474121094,57.0
2016-06-08,115.80000305175781,33.44402313232422,74.91000366210938,100.31999969482422,24.059999465942383,46.5099983215332,138.8800048828125,48.45000076293945,61.72999954223633,57.619998931884766
2016-06-09,117.0,33.50094985961914,74.43000030517578,100.4800033569336,23.459999084472656,45.7599983215332,138.24000549316406,48.13999938964844,60.75,57.18000030517578
2016-06-10,117.01000213623047,33.481971740722656,73.94999694824219,98.51000213623047,22.90999984741211,44.529998779296875,135.61000061035156,47.38999938964844,61.0,56.810001373291016
2016-06-13,116.79000091552734,32.96015167236328,73.86000061035156,99.05999755859375,22.56999969482422,44.77000045776367,133.32000732421875,46.189998626708984,59.93000030517578,56.11000061035156
2016-06-14,117.12000274658203,33.19734191894531,74.31999969482422,108.12999725341797,22.459999084472656,44.869998931884766,131.22000122070312,47.189998626708984,59.900001525878906,56.25
2016-06-15,116.41000366210938,33.007591247558594,73.70999908447266,98.19000244140625,22.889999389648438,44.7400016784668,129.5500030517578,47.220001220703125,60.400001525878906,56.09000015258789
2016-06-16,116.63999938964844,32.96963882446289,74.25,98.54000091552734,22.170000076293945,45.04999923706055,127.48999786376953,47.2599983215332,60.900001525878906,57.5
2016-06-17,115.4800033569336,32.466793060302734,73.86000061035156,98.04000091552734,21.440000534057617,45.0099983215332,125.19999694824219,46.439998626708984,60.0099983215332,55.88999938964844
2016-06-20,116.54000091552734,32.73244857788086,73.27999877929688,96.75,22.639999389648438,45.380001068115234,123.95999908447266,46.90999984741211,60.11000061035156,56.13999938964844
2016-06-21,116.18000030517578,32.96963882446289,72.56999969482422,96.44999694824219,22.860000610351562,44.880001068115234,124.13999938964844,47.290000915527344,59.97999954223633,56.25
2016-06-22,116.45999908447266,32.703983306884766,73.06999969482422,93.80999755859375,23.190000534057617,45.0,121.41000366210938,47.33000183105469,60.38999938964844,57.040000915527344
2016-06-23,117.37999725341797,32.81783676147461,73.94000244140625,95.19999694824219,23.65999984741211,46.15999984741211,123.56999969482422,47.900001525878906,61.310001373291016,57.68000030517578
2016-06-24,115.62999725341797,32.2296028137207,74.33000183105469,91.01000213623047,22.790000915527344,43.560001373291016,112.98999786376953,46.5099983215332,59.86000061035156,55.880001068115234
2016-06-27,116.55000305175781,32.06830978393555,74.88999938964844,87.75,21.290000915527344,41.810001373291016,111.88999938964844,45.41999816894531,58.68000030517578,55.310001373291016
2016-06-28,118.2300033569336,32.67552185058594,75.1500015258789,87.2699966430664,22.1299991607666,42.81999969482422,114.94000244140625,46.41999816894531,59.9900016784668,55.58000183105469
2016-06-29,119.33000183105469,33.2163200378418,78.1500015258789,91.55000305175781,22.719999313354492,43.220001220703125,114.16999816894531,47.2400016784668,61.810001373291016,57.04999923706055
2016-06-30,121.30000305175781,33.406070709228516,78.75,90.66999816894531,22.989999771118164,43.2400016784668,116.76000213623047,47.459999084472656,61.90999984741211,57.61000061035156
2016-07-01,121.29000091552734,33.74762725830078,78.94999694824219,91.12000274658203,23.18000030517578,43.47999954223633,118.58999633789062,47.45000076293945,62.709999084472656,57.939998626708984
2016-07-05,122.2699966430664,33.9753303527832,79.63999938964844,90.88999938964844,22.65999984741211,42.66999816894531,117.63999938964844,47.5,61.91999816894531,58.0
2016-07-06,122.63999938964844,34.022769927978516,80.0199966430664,92.83999633789062,22.81999969482422,43.540000915527344,121.12000274658203,48.09000015258789,63.369998931884766,59.15999984741211
